product,crop,factor_low,factor_mid,factor_high,status,basis,source,source_url,notes
Guinea corn / sorghum,Sorghum,1,1,1,provisional,direct grain,GHS item: Guinea corn / sorghum,NA,Direct grain product.
Millet,Millet,1,1,1,provisional,direct grain,GHS item: Millet,NA,Direct grain product.
Rice - local,Rice,1,1,1,provisional,direct milled product,GHS item: Rice - local,NA,Treated as rice as consumed.
Rice - imported,Rice,1,1,1,provisional,direct milled product,GHS item: Rice - imported,NA,Treated as rice as consumed.
Maize flour,Maize,1.05,1.14,1.25,provisional,maize flour extraction,FAO — Quantification of Root Crops in National Food Balance Sheets,https://www.fao.org/4/y9422e/y9422e04.htm,Maize meal extraction approximately 80–95%.
Maize - unshelled/on cob,Maize,0.75,0.8,0.85,provisional,on-cob to grain conversion,Omnicalculator; SeedCo Zambia,https://www.omnicalculator.com/biology/grain-conversion ; https://www.google.com/url?sa=i&source=web&rct=j&url=/goto?url%3DCAESaQHrOzAVLcavph2gJWT-NV7fTKMrDluyjBrI2pyPhWp3IandGoIPqjS2sYekF9De8QtlOVlzv2Xe2bvni7TGH_uPHvmLA2_l9vjUACTUnbdFNVwj9uE-hg-TJs6a_5P8h8sXO2dDdv1z4g&ved=2ahUKEwiMhOvYnOWWAxWUmYQIHTnDHR8QqYcPegoIAggACAAIGBAC&opi=89978449&cd&psig=AOvVaw3eZ4Hlxm_4fQiMTrWARoRx&ust=1789171319579000,Uses shelling/grain recovery factor.
Maize - shelled/off cob,Maize,1,1,1,provisional,direct grain,GHS item: Maize - shelled/off cob,NA,Direct maize grain.
Yam flour,Yam,3.33,3.63,4,provisional,yam flour conversion,YouTube recipe for making flour,https://www.google.com/url?sa=i&source=web&rct=j&url=/goto?url%3DCAESYwHrOzAVZUTP58XwFDZod6mRyVmIcjQ6GoaeDmZYcQyomnpy1wrq-k2fLaiu5RWI5dkz_jJLG6MrYywXLunhFPKiEn052A7Bwkr7rjg9xfxIPFgtl9ECpcAGaLDNq1osZQjDfg&ved=2ahUKEwjorOuon-WWAxXRfTABHTXnFv8QqYcPegoIAggACAAIIhAC&opi=89978449&cd&psig=AOvVaw0Zrk8R1FSd2vh1SOUSvEOX&ust=1789172024227000,Uses conversion from yam flour to fresh yam equivalent.
Cassava flour,Cassava,3.75,4,4.25,provisional,cassava flour conversion,J Aristizabal  2017 ,https://www.google.com/url?sa=i&source=web&rct=j&url=/goto?url%3DCAESigEB6zswFUvEIp_eTOLnYnvzde0i8HcEv4OJeq1WhLLblzOYqSyw5D42rQpZpyo2_a4w_MKmO6HplUkj9Y5vDOorkS_7W3waZwHECZZpyZbggtDMrm-IvmH8gj6hugcmLnrrsoLif5AsdFi2Hai-68CigySlygguhSosMcgWLRRp2TdgQAUUVj9xop0&ved=2ahUKEwjHyqW9oOWWAxXAgoQIHX85MMUQqYcPegoIAggACAAIFhAC&opi=89978449&cd&psig=AOvVaw2R1uvRmx7M9PlmXlUonnkT&ust=1789172335560000,Uses conversion from cassava flour to appropriate cassava basis.
Cassava roots,Cassava,1,1,1,provisional,direct roots,GHS item: Cassava roots,NA,Check GHS free-text units for prepared fufu/wrapped products.
